Country Name,Physicians per 1000
Northern Mariana Islands,0.445
Mozambique,0.0838
Mauritania,0.1865
Mauritius,2.5331
Malawi,0.0358
Malaysia,1.5358
North America,2.611818056
Namibia,0.4182
New Caledonia,1.982
Niger,0.0433
Nigeria,0.3806
Nicaragua,0.9775
Netherlands,3.6054
Norway,2.9164
Nepal,0.7486
Nauru,1.3462
New Zealand,3.5898
OECD members,2.921528939
Oman,2.0031
Other small states,1.224771524
Pakistan,0.9801
Panama,1.5687
Peru,1.3048
Philippines,0.6004
Palau,1.4205
Papua New Guinea,0.0699
Poland,2.3788
Pre-demographic dividend,0.230927148
Puerto Rico,1.75
"Korea, Dem. People’s Rep.",3.6834
Portugal,5.124
Paraguay,1.3544
West Bank and Gaza,0.837
Pacific island small states,0.498877493
Post-demographic dividend,3.17988595
French Polynesia,1.697
Qatar,2.4852
Romania,2.9807
Russian Federation,4.0139
Rwanda,0.134
South Asia,0.835976883
Saudi Arabia,2.6117
Sudan,0.2618
Senegal,0.0691
Singapore,2.2936
Solomon Islands,0.1937
Sierra Leone,0.0251
El Salvador,1.5662
San Marino,6.1094
Somalia,0.023
Serbia,3.1131
Sub-Saharan Africa (excluding high income),0.230915715
South Sudan,0
Sub-Saharan Africa,0.2340083
Small states,1.307616843
Sao Tome and Principe,0.0531
Suriname,1.2101
Slovak Republic,3.4156
Slovenia,3.0861
Sweden,3.984
Eswatini,0.3285
Sint Maarten (Dutch part),0
Seychelles,2.1212
Syrian Arab Republic,1.2874
Turks and Caicos Islands,0
Chad,0.0434
East Asia & Pacific (IDA & IBRD countries),1.545180265
Europe & Central Asia (IDA & IBRD countries),3.118566063
Togo,0.0774
Thailand,0.805
Tajikistan,2.1026
Turkmenistan,2.2247
Latin America & the Caribbean (IDA & IBRD countries),2.162562066
Timor-Leste,0.7224
Middle East & North Africa (IDA & IBRD countries),1.068748534
Tonga,0.5403
South Asia (IDA & IBRD),0.835976883
Sub-Saharan Africa (IDA & IBRD countries),0.2340083
Trinidad and Tobago,4.1675
Tunisia,1.3025
Turkey,1.8492
Tuvalu,0.9174
Tanzania,0.014
Uganda,0.168
Ukraine,2.9923
Upper middle income,1.967984537
Uruguay,5.0794
United States,2.612
Uzbekistan,2.3742
St. Vincent and the Grenadines,0.6648
"Venezuela, RB",1.9475
British Virgin Islands,0
Virgin Islands (U.S.),1.645
Vietnam,0.8281
Vanuatu,0.1653
World,1.565633443
Samoa,0.3445
Kosovo,0
"Yemen, Rep.",0.5251
South Africa,0.9054
Zambia,1.1867
Zimbabwe,0.2096
